file,#,description,eif,value,income-type,income-amount
"Department of Defense/Scher, Robert",1,Collins Management Consulting 401K-- Invesco,N/A,,,None (or less than $201)
"Department of Defense/Scher, Robert",1.1,Invesco Amerian Franchise Fund-Class A,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Defense/Scher, Robert",1.2,Invesco Equity and Income Fund-Class A,Yes,"None (or less than $1,001)",,None (or less than $201)
"Department of Defense/Scher, Robert",2,Education Counsel LLC - salary,N/A,,,
"Department of Defense/Scher, Robert",3,Nelson Mullins Retirement-Schwab,,,,
"Department of Defense/Scher, Robert",3.1,Vanguard Target Retirement 2030 Inv,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",4,Center for Law and Social Policy--First Mercantile,,,,
"Department of Defense/Scher, Robert",4.1,American Century Equity Income,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Defense/Scher, Robert",4.2,Vanguard LifeStrat Grth,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Defense/Scher, Robert",4.3,Vanguard Star,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Defense/Scher, Robert",5,Children's Defense Fund 403B-TIAA,,,,
"Department of Defense/Scher, Robert",5.1,CREF Social Choice R1,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",5.2,CREF Stock R1,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Defense/Scher, Robert",5.3,CREF Growth R1,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",5.4,TIAA Traditional,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Defense/Scher, Robert",6,DC 401A Retirement Plan,,,,
"Department of Defense/Scher, Robert",6.1,Vanguard Target Retire 2035 Tr,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",1,E.L. Haynes Public Charter School,N/A,,Salary,
"Department of Education/Brickman, Michael",2,Stanford University,N/A,,Paid Summer Fellowship (Stipend),
"Department of Education/Brickman, Michael",3,American Funds 2050 Trgt Date Retire R6 (RFITX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",4,"State of Tennessee, defined benefit plan",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",5,Schwab International Equity ETF (SCHF),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",6,Schwab US Aggregate Bond ETF (SCHZ),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",7,Schwab US Large-Cap ETF (SCHX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",8,Schwab US Small-Cap ETF (SCHA),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Chamberlain, Michael",1,The Groundskeeper ESOP Account,N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Chamberlain, Michael",2,The Groundskeeper (commercial landscaper),N/A,,salary,
"Department of Education/Chamberlain, Michael",3,IRA: Fidelity Freedom 2040 Fund (FFFFX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Cox-Roush, Deborah",1,Gordon Food Service (Retail Food Market),N/A,,Salary,
"Department of Education/Cox-Roush, Deborah",2,401K:  Vanguard Target Retirement 2020 (VTWNX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Cox-Roush, Deborah",3,"Ohio Police & Fire Pension Fund, defined benefit plan (value not readily ascertainable)",N/A,,Retirement Payments,
"Department of Education/Frendewey, Matthew",1,George Washington University Hospital,N/A,,salary,
"Department of Education/Frendewey, Matthew",2,401K:  State Street Target Retirement 2050 Fund (SSDFX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",3,401K:  State Street Moderate Balanced Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",1,"Morgan Stanley, defined benefit plan (value not readily ascertainable)",N/A,,,None (or less than $201)
"Department of Education/Ham, Holly",2,"Morgan Stanley, restricted stock units",N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",3,"Morgan Stanley, employer",N/A,,Salary,
"Department of Education/Ham, Holly",4,Morgan Stanley Insti Liquidity (MPFXX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",5,"Morgan Stanley Insti Liq Fds, T (MSUXX)",Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",6,IRA:  iShares Core US Aggregate Bond (AGG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",7,IRA:  PowerShares Senior Loan ETF (BKLN),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",8,IRA:  SPDR Barclays Capital Convertible Secs (CWB),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",9,IRA:  iShares MSCI EAFE Growth Index (EFG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",10,IRA:  iShares JPMorgan USD Emerg Markets Bond (EMB),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",11,IRA: SPDR S&P Emerging Markets Small Cap (EWX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",12,"IRA:  Facebook, Inc. - Class A Common Stock",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",13,IRA:  First Trust Senior Loan Fund ETF (FTSL),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",14,IRA:  ProShares High Yield—Interest Rate Hdgd (HYHG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",15,IRA:  ProShares Investment Grade—Intr Rt Hdgd (IGHG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",16,IRA:  SPDR Barclays Capital High Yield Bond (JNK),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",17,IRA:  Palo Alto Networks (PANW),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",18,"IRA:  Cohen & Steers Select Preferred and Income Fund, Inc. (PSF)",Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",19,IRA:  PowerShares QQQ ETF (QQQ),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",20,IRA:  SPDR SSgA Multi-Asset Real Return ETF (RLY),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",21,IRA:  Oppenheimer ADR Revenue ETF (RTR),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",22,IRA:  Oppenheimer Large Cap Revenue ETF (RWL),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",23,IRA:  PowerShares S&P 500 High Beta ETF (SPHB),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",24,IRA:  SPDR S&P 500 (SPY),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",25,IRA:  Vanguard Mid-Cap Growth ETF (VOT),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",26,IRA:  Vanguard Growth ETF (VUG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",27,IRA:  Vanguard FTSE Emerging Markets ETF (VWO),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",28,401K:  BlackRock Bond Index Non-Lendable Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",29,401K:  PIMCO Core Fixed Income Portfolio,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",30,401K:  PIMCO Low Duration Fund,No,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",31,401K:  Shenkman Capital High Yield Bond Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",32,401K:  PIMCO Real Return Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",33,401K:  PIMCO Foreign Bond (Unhedged) Instl (PFUIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",34,401K:  BlueBay Emerging Markets Select Debt Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",35,401K:  Eaton Vance Global Macro Absolute Return Fund (EIGMX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",36,401K:  T. Rowe Price U.S. Large Cap Value Fund,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",37,"401K:  Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class IS (MGRPX)",Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of Education/Ham, Holly",38,401K:  TS&W Mid Cap Value Portfolio,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",39,401K:  Chartwell Mid Cap Growth Portfolio,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",40,401K:  William Blair Small Cap Value Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",41,401K:  Chartwell Small Cap Growth Portfolio,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",42,401K:  Morgan Stanley Inst International Eq IS (MIQPX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",43,401K:  Artisan International Growth Trust,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",44,401K:  Fidelity Institutional Asset Management Select International Small Cap Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",45,401K:  Morgan Stanley Inst Emerging Mkts IS (MMMPX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",46,401K:  Morgan Stanley Inst Global Real Est IS (MGREX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",47,Morgan Stanley Stock Fund (MS),No,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Hudson, Alexandra",1,"The Liberty Fund - Sept 15-17, 2016",N/A,,Honorarium,$900
"Department of Education/Hudson, Alexandra",2,"Gibson Dunn and Crutcher, LLP",N/A,,Salary,
"Department of Education/Hudson, Alexandra",3,401K:  T. Rowe Price Blue Chip Growth Fund (TRBCX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Hudson, Alexandra",4,401K:  American Funds EuroPacific Growth Fund Class R6 (RERGX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Hudson, Alexandra",5,401K: Vanguard Small Cap Value Index Fund (VISVX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Kossack, Andrew",1,Dodge & Cox International Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Kossack, Andrew",2,"Kossack Studio, LLC",N/A,"$1,001 - $15,000",Business Income,
"Department of Education/Toner, Jana",1,CNN Contributer,N/A,,consulting fees,
"Department of Education/Toner, Jana",2,Wiley Rein (Law Firm),N/A,,partnership share,
"Department of Education/Toner, Jana",3,"Wiley Rein, capital contribution",N/A,"$100,001 - $250,000",,None (or less than $201)
"Department of Education/Toner, Jana",4,"Wiley Rein, cash balance retirement plan",N/A,"$250,001 - $500,000",,"$15,001 - $50,000"
"Department of Education/Toner, Jana",5,Trade PMR Defined Contribution Plan,No,,,
"Department of Education/Toner, Jana",5.1,Dimensional Funds DFA Investment Grade Portfolio Institutional Class Shares (DFAPX),Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Department of Education/Toner, Jana",5.2,Dimensional Funds DFA Emerging Markets Core Equity Portfolio Institutional Class (DFCEX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Toner, Jana",5.3,Dimensional Funds DFA International Core Equity Portfolio Institutional Class (DFIEX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Education/Toner, Jana",5.4,Dimensional Funds DFA U.S. Core Equity 1 Portfolio Institutional Class (DFEOX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of Education/Toner, Jana",5.5,Dimensional Funds DFA U.S. Core Equity II Portfolio Institutional Class (DFQTX),Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Department of Education/Toner, Jana",5.6,Dimensional Funds DFA Short-Term Extended Quality Portfolio Institutional Class (DFEQX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Toner, Jana",5.7,Dimensional Funds DFA Five-Year Global Fixed Income Portfolio Institutional Class (DFGBX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Department of Education/Toner, Jana",6,Bryan Cave 401(k),No,,,
"Department of Education/Toner, Jana",6.1,Vanguard Wellington Fund Admiral Shares (VWENX),Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Department of Education/Toner, Jana",6.2,Vanguard Institutional Target Retirement 2030 Fund (VTTWX),Yes,"$100,001 - $250,000",,"$5,001 - $15,000"
"Department of Education/Toner, Jana",6.3,Vanguard Target Retirement Income Fund (VTINX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Department of Education/Toner, Jana",7,Wiley 401(k),No,,,
"Department of Education/Toner, Jana",7.1,Fidelity Freedom K 2030 Fund (FFKEX),Yes,"$100,001 - $250,000",,"$15,001 - $50,000"
"Department of Education/Young, Patrick",1,Falls Church City Public Schools - Mary Ellen Henderson Middle School,N/A,,Salary,
"Department of Education/Young, Patrick",2,Inova Health Systems (Education Specialist),N/A,,part time employment via time card,
"Department of Education/Young, Patrick",3,Sage Givens  (Book Keeping),N/A,,Part Time Employment via invoice,
"Department of Education/Young, Patrick",4,Inova Health Systems 401K,No,,,
"Department of Education/Young, Patrick",4.1,JPMCB SR 2035 CF,Yes,"None (or less than $1,001)",,None (or less than $201)
"Department of Housing and Urban Development/Bowes, Robert",1,MedStar Home Health VNA,N/A,,salary,
"Department of Housing and Urban Development/Bowes, Robert",2,IRA - Vanguard,No,"$15,001 - $50,000",,
"Department of Housing and Urban Development/Bowes, Robert",2.1,Frontline Ltd ticker FRO,No,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
"Department of Housing and Urban Development/Bowes, Robert",2.2,Ship Finance Ltd ticker SFL,No,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
"Department of Housing and Urban Development/Holderfield, Stephanie",1,Excelon (Electrician Welder),N/A,,salary,
"Department of Housing and Urban Development/Holderfield, Stephanie",2,403(b) Supplemental Retirement Plan,No,"$100,001 - $250,000",,
"Department of Housing and Urban Development/Holderfield, Stephanie",2.1,Fidelity Select Gold Portfolio,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Housing and Urban Development/Holderfield, Stephanie",2.2,Fidelity Select Biotechnology Portfolio,Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of Housing and Urban Development/Holderfield, Stephanie",2.3,Fidelity Select Technology Portfolio,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Housing and Urban Development/Holderfield, Stephanie",2.4,Fidelity China Region Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Housing and Urban Development/Holderfield, Stephanie",2.5,Fidelity Investments Money Market Treasury Only,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Housing and Urban Development/Holderfield, Stephanie",2.6,Fidelity International Small Cap Fund,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Housing and Urban Development/Holderfield, Stephanie",2.7,Fidelity Growth Company Fund Class K,Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of Housing and Urban Development/Holderfield, Stephanie",3,"University SURS, defined benefit plan",N/A,,Pension retirement payments,
"Department of Housing and Urban Development/Holderfield, Stephanie",4,Sub-Contractor (Electrician),N/A,,Salary,
"Department of Housing and Urban Development/Hughes, Andrew",1,Coca Cola Bottling Company,N/A,,salary,
"Department of Housing and Urban Development/Hughes, Andrew",2,401K,N/A,,,
"Department of Housing and Urban Development/Hughes, Andrew",2.1,FID FREEDOM 2050 (FFFHX),Yes,"$1,001 - $15,000",,None (or less than $201)
