file,part,#,endnote
"Department of Defense/Scher, Robert",9,1,$1500 was the cost of the ticket as the event was a fundraiser.  I don't know the actual cost of the food/drink/facility for the evening.
"Department of Education/Brickman, Michael",6,14,Bank Account
"Department of Education/Brickman, Michael",6,15,Life Insurance
"Department of Education/Ham, Holly",5,30,This asset is a managed account.  The values and income of the underlying holdings of this managed account are below the reporting thresholds.
"Department of Education/Kossack, Andrew",1,1,"Voluntarily separated from employer on January 13, 2017, prior to commencement of federal service on January 20, 2017."
"Department of Education/Kossack, Andrew",5,2,Spouse's teaching-related income earned through home-based piano and vocal lessons.
"Department of Education/Lee, Ebony Letise",1,2,I believe that I became a member of this advisory board in 2011 or thereabouts. This was an uncompensated position.
"Department of Education/Lee, Ebony Letise",1,3,This was an uncompensated position.
"Department of Education/Reynolds, Cody",Filer's Information,1,Employment ended 1/12/17.
"Department of Education/Young, Patrick",6,2,Bank Accounts
"Department of Housing and Urban Development/Coffey, Alexander",6,1,Jointly owned with grandmother.
"Department of Housing and Urban Development/Holderfield, Stephanie",1,1,My license has been changed from active to non-active.  I am not participating in any kind of real estate related activity.
"Department of Housing and Urban Development/Holderfield, Stephanie",1,2,The consulting company was formed due to working on a political campaign as a limited liability partnership.  I requested a dissolve from the state of Illinois January 2017.
"Department of Housing and Urban Development/Holderfield, Stephanie",5,4,"Various contractors for Electrical work, sub-contracted out through the IBEW Local 601."
"Department of Housing and Urban Development/Kasper, Maren",2,2,Wealthfront IRA where dividends are reinvested
"Department of Housing and Urban Development/Patton, Lynne",2,1,"Base Salary at the Trump Organization + Value of Tangible Bonuses (Golf Membership, Complimentary Hotel Stays, etc.) per year."
"Department of the Treasury/Chung, Jason",6,4,for dependent child
"Department of the Treasury/Hauptman, Kyle",2,2,Underlying assets of this IRA are listed separately on this Part.
"Department of the Treasury/Hauptman, Kyle",2,3,Underlying assets are peer-to-peer loans through online lending service.
"Department of the Treasury/Hauptman, Kyle",4,2,I worked at AEI in 2014 and 2015.
"Department of the Treasury/Hauptman, Kyle",6,1,"Private company; it is a partnership, and each year I receive a K-1 for my share of the proceeds (if any) as a result of being a minority owner. I have no management role.  My partnership proceeds are taxed as regular income."
"Department of the Treasury/Hauptman, Kyle",6,10,"I have listed the total rent received. The actual taxable income, after expenses, is much less."
"Department of the Treasury/Hauptman, Kyle",6,11,"I have listed the total rent received. The actual taxable income, after expenses, is much less."
"Department of the Treasury/Hauptman, Kyle",6,12,"I have listed the total rent received. The actual taxable income, after expenses, is much less."
"Department of the Treasury/Hauptman, Kyle",6,13,"I have listed the total rent received. The actual taxable income, after expenses, is much less."
"Department of the Treasury/Hauptman, Kyle",8,1,"This loan is in Japanese Yen, held by the Tokyo branch of Commonwealth Bank of Australia."
"Department of the Treasury/Hauptman, Kyle",8,3,"I have 2 mortgages with BB&T. Both are for investment properties in Washington, DC. Both properties (& mortgages) were obtained in 2015 and have identical loan terms and interest rates."
"Department of the Treasury/Hauptman, Kyle",8,4,This is actually 2 separate loans; the balance for each is around $6500 and both have identical terms & interest rates.
"Department of the Treasury/Mkrtchian, Edgar",1,4,Inactive LLC.
"Department of the Treasury/Phillips, Craig",6,10,"The underlying assets of MSREF V are as follows:  Sol V – La Cala (Spain - Residential); DIC Investment Program (Germany – Commercial Real Estate); Korea Direct Asset Program (Korea – Commercial Real Estate); Italian Hard Asset Platform (Milan and Naples Italy – Mixed Use Real Estate); Beatles (Shanghai, China – Mixed Use Retail/Office Development); Digital 1 (Germany – Operating Company)."
"Department of the Treasury/Phillips, Craig",6,12,"The underlying assets of MSDWP Venture Partners IV are as follows:  iRise (El Segundo, CA - application synthesis tools); VBrick Systems Inc. (Herndon, VA - video networking products); pSivida Ltd. (Watertown, MA - drug delivery company); and XS, Inc (Cary, NC - e-commerce systems for agricultural products)."
"Department of the Treasury/Wrennall-Montes, Sarah",6,13,Trader Joe's Retirement Plan
