file,#,employer-or-party,city-state,status-and-terms,date
"Department of Defense/Scher, Robert",1,Booz Allen Hamilton,"McLean, Virginia",I will continue to participate in the Booz Allen Hamilton 'employee Capitol Accumulation Plan.  I have not received any contributions since my departure,Apr-06
"Department of Defense/Scher, Robert",2,University of Pennsylvania,"Philadelphia, Pennsylvania","$10,000.00 from the Perry World Center to be a Visiting Fellow for Spring 2017 and Fall 2017 semesters",Apr-17
"Department of Education/Brickman, Michael",1,Luntz Global Partners,"Manassas, Virginia",Neither employer nor I are making further contributions to this defined contribution plan.,May-15
"Department of Education/Brickman, Michael",2,Thomas B. Fordham Foundation,"Washington, District of Columbia",Neither employer nor I are making further contributions to this defined contribution plan.,Aug-13
"Department of Education/Brickman, Michael",3,State of Wisconsin,"Madison, Wisconsin",Neither employer nor I are making further contributions to this defined benefit plan.,Jan-10
"Department of Education/Frendewey, Matthew",1,American Federation for Children,"Washington, District of Columbia",I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Apr-13
"Department of Education/Jones, Amy L",1,"Humana, Inc.","Louisville, Kentucky","NON-PAID Personal Leave of Absence - 120 days for the initial ""Non-Military Government Assignment"".",Feb-17
"Department of Education/Jones, Amy L",2,"Humana, Inc.","Louisville, Kentucky",Life Insurance is the only benefit that continues while on the NON-PAID Personal Leave of Absence.,Dec-08
"Department of Education/Jones, Amy L",3,"Humana, Inc. - Humana Retirement Savings Plan (401K)","Louisville, Kentucky",I will not participate in this defined contribution plan after my separation.,Dec-08
"Department of Education/Kossack, Andrew",1,State of Indiana,"Indianapolis, Indiana","I will continue to participate in this defined contribution plan (annuity savings account), but the plan sponsor no longer makes contributions.",Sep-09
"Department of Education/Kossack, Andrew",2,State of Indiana,"Indianapolis, Indiana","I will continue to participate in this defined benefit plan (pension benefit), but the plan sponsor no longer makes contributions.",Sep-09
"Department of Education/Lee, Ebony Letise",1,Bill and Melinda Gates Foundation,"Seattle, Washington",Bill & Melinda Gates Foundation Sharing Retirement Plan 401(a). I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Oct-07
"Department of Education/Lee, Ebony Letise",2,Bill & Melinda Gates Foundation,"Seattle, Washington",Bill & Melinda Gates Employee Retirement Plan 403(b).  I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Oct-07
"Department of Education/Oberlies, Michael",1,National Republican Congressional Committee (NRCC),"Washington, District of Columbia",No further contributions will be made to this defined contribution plan after my separation.,Mar-15
"Department of Education/Toner, Jana",1,Trade PMR,"Washington, District of Columbia","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Jan-09
"Department of Education/Ventimiglia, Eric",1,Michigan House of Representatives,"Lansing, Michigan",I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Jan-09
"Department of Housing and Urban Development/Hughes, Andrew",1,The University of Texas System,"Austin, Texas",I will not participate in this defined contribution plan after my separation.,Mar-16
